Name,r,theta°,phi°
Coordinate System350,0.065,94.8,66.4
Coordinate System351,0.066,88.4,64.6
Coordinate System352,0.066,75.8,68.6
Coordinate System353,0.065,72.1,73.6
Coordinate System354,0.065,68.6,78.7
Coordinate System355,0.066,65.3,83.8
Coordinate System356,0.066,65.3,96.2
Coordinate System357,0.065,68.6,101.3
Coordinate System358,0.065,72.1,106.4
Coordinate System359,0.066,75.8,111.4
Coordinate System360,0.066,88.4,115.4
Coordinate System361,0.065,94.8,113.6
Coordinate System362,0.065,101.0,111.5
Coordinate System363,0.066,107.0,109.3
Coordinate System364,0.065,84.7,129.7
Coordinate System365,0.064,92.2,128.3
Coordinate System366,0.063,99.7,126.4
Coordinate System367,0.063,106.8,124.0
Coordinate System368,0.064,113.4,121.3
Coordinate System369,0.065,119.5,118.3
Coordinate System370,0.065,127.4,105.4
Coordinate System371,0.064,127.4,99.4
Coordinate System372,0.063,127.4,93.2
Coordinate System373,0.063,127.4,86.8
Coordinate System374,0.064,127.4,80.6
Coordinate System375,0.065,127.4,74.6
Coordinate System376,0.065,119.5,61.7
Coordinate System377,0.064,113.4,58.7
Coordinate System378,0.063,106.8,56.0
Coordinate System379,0.063,99.7,53.6
Coordinate System380,0.064,92.2,51.7
Coordinate System381,0.065,84.7,50.3
Coordinate System382,0.065,67.5,56.0
Coordinate System383,0.064,63.6,61.1
Coordinate System384,0.063,60.0,66.4
Coordinate System385,0.063,56.6,71.8
Coordinate System386,0.064,53.5,77.3
Coordinate System387,0.065,50.6,82.6
Coordinate System388,0.065,50.6,97.4
Coordinate System389,0.064,53.5,102.7
Coordinate System390,0.063,56.6,108.2
Coordinate System391,0.063,60.0,113.6
Coordinate System392,0.064,63.6,118.9
Coordinate System393,0.065,67.5,124.0
Coordinate System394,0.066,94.8,98.7
Coordinate System395,0.066,100.5,96.7
Coordinate System396,0.066,98.9,82.7
Coordinate System397,0.066,93.0,80.7
Coordinate System398,0.066,87.2,78.9
Coordinate System399,0.066,77.5,89.3
Coordinate System400,0.066,81.0,94.2

